id,subject
D001,a snow shovel standing upright in a small mound of snow beside a cleared sidewalk
D002,a watering can tipping over and pouring onto a potted houseplant
D003,a lit porch lantern mounted on a wall beside a front door
D004,a tri-fold cardboard presentation board standing on a classroom easel
D005,an award ribbon rosette with two trailing ribbon tails
D006,a stack of four hardcover books with a bookmark ribbon hanging out
D007,one empty wooden dining chair pulled slightly back from a table edge
D008,an old library checkout card tucked into a paper pocket inside a book
D009,a wooden step ladder standing folded open
D010,a broad leafy shade tree with a small bench underneath it
D011,a fire hydrant standing on a curb
D012,a covered casserole dish with two oven mitts and steam rising
D013,an American curbside mailbox with its red flag raised
D014,a school lunch tray holding a milk carton a sandwich and an apple
D015,two small houses side by side sharing a low garden fence
D016,a folding card table holding a plate of cookies and a coffee urn
D017,a library card sliding out of its paper pocket
D018,a hand dropping a folded paper ballot into a ballot box
D019,a cafeteria serving counter with a ladle and a stack of trays
D020,a small sapling planted in freshly turned soil next to a spade
D021,a park bench beneath a streetlamp
D022,a long picnic table set end to end with many plates
D023,a voting district map drawn in an absurdly squiggly shape
D024,three speech bubbles each holding a tiny picket sign
D025,a wheeled library book cart loaded with books
D026,a hand holding open a door
D027,a step ladder and an open toolbox beside a half built brick wall
D028,a dining table with an extra leaf being slotted into the middle
D029,a child's backpack and lunchbox sitting on a front doorstep
D030,a compost bin with a shovel leaning on it and a sprout growing out
