id,slogan,theme,tone,format,tier,risk,risk_note,saturation
D001,Shovel The Whole Block,neighbors,warm,punchline,A,low,Original. Civic virtue as a small concrete act.,low
D002,I'd Water Your Plants,neighbors,warm,punchline,A,low,Original. Neighborliness stated as an offer rather than a position.,low
D003,Somebody Planted The Tree You're Sitting Under,legacy,earnest,punchline,A,low,Echoes an old proverb with no owner. Original phrasing.,low
D004,Nobody Asks The Fire Department For A Copay,healthcare,wry,punchline,A,low,Original. Makes the argument without naming an opponent.,low
D005,Democracy Is A Group Project,democracy,wry,punchline,A,low,Original. The school-project joke lands across the whole audience.,low
D006,Mutual Aid Is Just Neighboring With Extra Steps,community,wry,punchline,A,low,Original. Defuses a loaded term by making it ordinary.,low
D007,There's Room,inclusion,earnest,punchline,A,low,Original. Two words. Works on a shirt and on a tote.,low
D008,Leave The Porch Light On,welcome,warm,punchline,A,low,Original phrasing of a common image. Layered and quiet.,low
D009,Feed The Kids. That's The Whole Policy.,education,earnest,punchline,A,low,Original. School lunch as a position nobody has to argue with.,low
D010,The Librarian Trusted You With It,books,warm,punchline,A,low,Original. Trust as the point rather than the ban.,low
D011,Decency Is A Policy Position,values,wry,punchline,A,low,Original. Sharp without being unkind.,low
D012,I'm With The Banned,books,wry,punchline,A,low,Common library-community phrase with no single owner.,medium
D013,Borrow My Ladder,neighbors,warm,punchline,B,low,Original. Oblique and specific. Pairs with a simple line drawing.,low
D014,Casserole Democracy,community,warm,punchline,B,low,Original. Community as something you carry to someone's door.,low
D015,The Mail Goes Everywhere,publicgoods,earnest,punchline,B,low,Original. Universal service stated as a plain fact.,low
D016,Everything Good Was Once A Public Good,publicgoods,earnest,punchline,B,low,Original. Quiet and argumentative at the same time.,low
D017,Ask Me About My Library Card,books,warm,punchline,B,low,Original. Invites a conversation rather than ending one.,low
D018,Voting Is A Love Language,democracy,warm,punchline,B,low,Original. Riffs a pop-psych phrase that is not protectable.,medium
D019,I Brought Snacks To The Polls,democracy,warm,punchline,B,low,Original. Specific and small which is why it works.,low
D020,Somebody's Kid,empathy,earnest,punchline,B,low,Original. Two words that reframe almost any argument.,low
D021,The Lunch Lady Knew Everyone's Name,education,warm,punchline,B,low,Original. Nostalgia without borrowing anyone's characters.,low
D022,Plant Something You Won't See Full Grown,climate,earnest,punchline,B,low,Original. Climate framed as generosity rather than doom.,low
D023,GERRYMANDER (v.) To Choose Your Own Voters,democracy,wry,definition,B,low,Dictionary format. Original definition text. Educational and shareable.,low
D024,Unionize Your Group Chat,labor,wry,punchline,B,low,Original. Very online and genuinely funny.,low
D025,Y'all Means All,inclusion,warm,punchline,B,low,Widely used phrase with no single owner. Fits the voice exactly.,high
D026,Public Libraries The Original Free Market,books,wry,punchline,B,low,Original. Converts with librarians and teachers.,low
D027,The Table Got Longer,inclusion,warm,punchline,C,low,Original phrasing of a circulating image. Warm and quiet.,low
D028,Hold The Door,values,earnest,punchline,C,low,Original. Deliberately ambiguous. Test whether it reads.,low
D029,Nobody Built It Alone,labor,earnest,punchline,C,low,Original. Quiet version of a contested argument.,low
D030,"Radical Kindness, Moderate Bedtime",values,warm,punchline,C,low,Original. Self-deprecating and very wearable.,low
D031,Compost Happens,climate,wry,punchline,C,low,Gentle pun. Low risk and low ambition. Cheap to test.,medium
D032,FILIBUSTER (n.) A Nap Performed Loudly,democracy,wry,definition,C,low,Dictionary format. Original definition text.,low
D033,Statistically Significant Dissent,science,wry,punchline,C,low,Original. Narrow audience but they will love it.,low
D034,They Is Singular And Always Has Been,inclusion,wry,punchline,C,low,Grammar-nerd ally shirt. Original phrasing.,low
D035,In Peer Review We Trust,science,wry,punchline,C,low,Riffs a currency motto which is not protectable.,low
D036,Electoral College Dropout,democracy,wry,punchline,C,low,Riffs an album title as a generic phrase. Weak TM ground.,low
